epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2122.9,1.1334,1.85523,1.13876,0.91359,0.90418,0.92209,0.66824,1.24984,1.82066,1.24429,0.003268,0.003268,0.003268
70,2153.23,1.14488,1.8293,1.13228,0.90047,0.90994,0.92061,0.66927,1.27581,1.93373,1.26405,0.003169,0.003169,0.003169
71,2183.57,1.14299,1.80136,1.12468,0.93563,0.92322,0.93618,0.67529,1.28599,1.91789,1.26152,0.00307,0.00307,0.00307
72,2213.83,1.11243,1.79298,1.12044,0.92297,0.90767,0.92071,0.66615,1.27839,1.93633,1.25948,0.002971,0.002971,0.002971
73,2243.97,1.12913,1.80012,1.13605,0.92097,0.91306,0.93013,0.67956,1.24369,1.88293,1.24045,0.002872,0.002872,0.002872
74,2274.45,1.09688,1.75929,1.12508,0.91528,0.91889,0.9254,0.65782,1.27672,1.85485,1.26126,0.002773,0.002773,0.002773
75,2304.73,1.11176,1.7277,1.1148,0.92012,0.91383,0.92236,0.66338,1.27234,1.79228,1.26666,0.002674,0.002674,0.002674
76,2334.94,1.11606,1.70535,1.12658,0.92799,0.91871,0.93089,0.67636,1.22141,1.66959,1.23976,0.002575,0.002575,0.002575
77,2365.96,1.10262,1.75414,1.12121,0.93873,0.92395,0.93567,0.68687,1.21759,1.76857,1.23045,0.002476,0.002476,0.002476
78,2396.5,1.09824,1.73848,1.12135,0.91864,0.90527,0.91925,0.66362,1.20725,1.74144,1.22702,0.002377,0.002377,0.002377
79,2426.55,1.0896,1.70288,1.12596,0.93032,0.91344,0.93016,0.66726,1.21176,1.75221,1.23382,0.002278,0.002278,0.002278
80,2456.79,1.08458,1.70619,1.10526,0.94737,0.91869,0.93938,0.67442,1.20213,1.79611,1.22323,0.002179,0.002179,0.002179
81,2487.08,1.06418,1.73483,1.10494,0.93191,0.93037,0.93631,0.67279,1.24868,1.78713,1.23865,0.00208,0.00208,0.00208
82,2517.37,1.06806,1.66136,1.10223,0.94858,0.91895,0.94005,0.67871,1.22995,1.76775,1.22372,0.001981,0.001981,0.001981
83,2547.65,1.04441,1.65625,1.09116,0.96036,0.94539,0.95352,0.68392,1.24039,1.78246,1.24052,0.001882,0.001882,0.001882
84,2577.88,1.03361,1.64288,1.08286,0.93199,0.91522,0.93184,0.67132,1.21203,1.71883,1.23181,0.001783,0.001783,0.001783
85,2608.08,1.02716,1.58283,1.08677,0.95068,0.92986,0.94601,0.68822,1.23491,1.70363,1.24034,0.001684,0.001684,0.001684
86,2638.25,1.00884,1.59451,1.08695,0.93724,0.90129,0.91784,0.67674,1.19121,1.74119,1.22102,0.001585,0.001585,0.001585
87,2669.73,1.01313,1.60849,1.09233,0.95165,0.91721,0.93873,0.67863,1.20342,1.77445,1.22211,0.001486,0.001486,0.001486
88,2701.85,1.01556,1.58336,1.08388,0.94742,0.94003,0.95067,0.68704,1.22046,1.77376,1.2246,0.001387,0.001387,0.001387
89,2733.88,1.00965,1.53193,1.07631,0.93495,0.9241,0.93721,0.68453,1.21505,1.77896,1.22535,0.001288,0.001288,0.001288
90,2764.95,1.02041,1.57333,1.08071,0.93648,0.92268,0.93777,0.6883,1.21696,1.68011,1.22374,0.001189,0.001189,0.001189
91,2795.92,0.99963,1.47324,1.11669,0.93413,0.92896,0.93945,0.68257,1.21992,1.64786,1.23378,0.00109,0.00109,0.00109
92,2826.49,0.97541,1.40627,1.09074,0.93436,0.9244,0.93704,0.67695,1.22655,1.65578,1.22433,0.000991,0.000991,0.000991
93,2856.76,0.96739,1.34564,1.09886,0.9514,0.93008,0.94661,0.68736,1.2269,1.69695,1.23046,0.000892,0.000892,0.000892
94,2887.6,0.94964,1.37294,1.07393,0.93924,0.91657,0.93327,0.68282,1.22169,1.67319,1.23418,0.000793,0.000793,0.000793
95,2917.85,0.94787,1.33198,1.09347,0.93703,0.91255,0.93138,0.6856,1.2117,1.63589,1.22518,0.000694,0.000694,0.000694
96,2948.33,0.93754,1.32354,1.07069,0.95131,0.93507,0.94934,0.69704,1.20741,1.63816,1.22346,0.000595,0.000595,0.000595
97,2978.74,0.93066,1.30128,1.07419,0.91811,0.90602,0.92155,0.67714,1.20609,1.64402,1.22138,0.000496,0.000496,0.000496
98,3008.48,0.93338,1.29172,1.07733,0.91901,0.90612,0.92181,0.67888,1.21848,1.63942,1.22769,0.000397,0.000397,0.000397
99,3038.25,0.90934,1.29481,1.06359,0.93032,0.9221,0.9363,0.68079,1.22197,1.66183,1.23117,0.000298,0.000298,0.000298
100,3069.46,0.91573,1.2884,1.06371,0.92916,0.9176,0.93394,0.68231,1.2157,1.66542,1.22492,0.000199,0.000199,0.000199
